"Region","PrimaryKey","Line","PointNbr","layer","code","LineKey","PointLoc"
"SH","201A",15,7,"FOLIAR_2","L","201A",7
"SH","201A",15,7,"SOIL_SURF","S","201A",7
"SH","201A",15,7.5,"FOLIAR_1","N","201A",7.5
"SH","201A",15,7.5,"FOLIAR_2","L","201A",7.5
"SH","201A",15,7.5,"SOIL_SURF","S","201A",7.5
"SH","201A",15,8,"FOLIAR_1","BRTE","201A",8
"SH","201A",15,8,"FOLIAR_2","L","201A",8
"SH","201A",15,8,"SOIL_SURF","S","201A",8
"SH","201A",15,8.5,"FOLIAR_1","N","201A",8.5
"SH","201A",15,8.5,"FOLIAR_2","L","201A",8.5
"SH","201A",15,8.5,"SOIL_SURF","S","201A",8.5
"SH","201A",15,9,"FOLIAR_1","BRTE","201A",9
"SH","201A",15,9,"FOLIAR_2","L","201A",9
"SH","201A",15,9,"SOIL_SURF","S","201A",9
"SH","201A",15,9.5,"FOLIAR_1","AGROP","201A",9.5
"SH","201A",15,9.5,"FOLIAR_2","L","201A",9.5
"SH","201A",15,9.5,"SOIL_SURF","S","201A",9.5
"SH","201A",15,10,"FOLIAR_1","POSE","201A",10
"SH","201A",15,10,"FOLIAR_2","L","201A",10
"SH","201A",15,10,"SOIL_SURF","S","201A",10
"SH","201A",15,10.5,"FOLIAR_1","AGROP","201A",10.5
"SH","201A",15,10.5,"FOLIAR_2","ACTH7","201A",10.5
"SH","201A",15,10.5,"FOLIAR_3","POSE","201A",10.5
"SH","201A",15,10.5,"FOLIAR_4","L","201A",10.5
"SH","201A",15,10.5,"SOIL_SURF","S","201A",10.5
"SH","201A",15,11,"FOLIAR_1","AGROP","201A",11
"SH","201A",15,11,"FOLIAR_2","BRTE","201A",11
"SH","201A",15,11,"FOLIAR_3","L","201A",11
"SH","201A",15,11,"SOIL_SURF","S","201A",11
"SH","201A",15,11.5,"FOLIAR_1","ELLAL","201A",11.5
"SH","201A",15,11.5,"FOLIAR_2","AGROP","201A",11.5
"SH","201A",15,11.5,"FOLIAR_3","L","201A",11.5
"SH","201A",15,11.5,"SOIL_SURF","S","201A",11.5
"SH","201A",15,12,"FOLIAR_1","AGROP","201A",12
"SH","201A",15,12,"FOLIAR_2","L","201A",12
"SH","201A",15,12,"SOIL_SURF","S","201A",12
"SH","201A",15,12.5,"FOLIAR_1","ELLAL","201A",12.5
"SH","201A",15,12.5,"FOLIAR_2","DG","201A",12.5
"SH","201A",15,12.5,"FOLIAR_3","POSE","201A",12.5
"SH","201A",15,12.5,"FOLIAR_4","L","201A",12.5
"SH","201A",15,12.5,"SOIL_SURF","S","201A",12.5
"SH","201A",15,13,"FOLIAR_1","AGROP","201A",13
"SH","201A",15,13,"FOLIAR_2","POSE","201A",13
"SH","201A",15,13,"FOLIAR_3","L","201A",13
"SH","201A",15,13,"SOIL_SURF","S","201A",13
"SH","201A",15,13.5,"FOLIAR_1","AGROP","201A",13.5
"SH","201A",15,13.5,"FOLIAR_2","L","201A",13.5
"SH","201A",15,13.5,"SOIL_SURF","S","201A",13.5
"SH","201A",15,14,"FOLIAR_1","N","201A",14
"SH","201A",15,14,"FOLIAR_2","L","201A",14
"SH","201A",15,14,"SOIL_SURF","S","201A",14
"SH","201A",15,14.5,"FOLIAR_1","AGROP","201A",14.5
"SH","201A",15,14.5,"FOLIAR_2","L","201A",14.5
"SH","201A",15,14.5,"SOIL_SURF","S","201A",14.5
"SH","201A",15,15,"FOLIAR_1","POSE","201A",15
"SH","201A",15,15,"FOLIAR_2","L","201A",15
"SH","201A",15,15,"SOIL_SURF","S","201A",15
"SH","201A",15,15.5,"FOLIAR_1","AGROP","201A",15.5
"SH","201A",15,15.5,"SOIL_SURF","S","201A",15.5
"SH","201A",15,16,"FOLIAR_1","AGROP","201A",16
"SH","201A",15,16,"SOIL_SURF","AGROP","201A",16
"SH","201A",15,16.5,"FOLIAR_1","POSE","201A",16.5
"SH","201A",15,16.5,"FOLIAR_2","L","201A",16.5
"SH","201A",15,16.5,"SOIL_SURF","S","201A",16.5
"SH","201A",15,17,"FOLIAR_1","AGROP","201A",17
"SH","201A",15,17,"FOLIAR_2","BRTE","201A",17
"SH","201A",15,17,"FOLIAR_3","L","201A",17
"SH","201A",15,17,"SOIL_SURF","S","201A",17
"SH","201A",15,17.5,"FOLIAR_1","AGROP","201A",17.5
"SH","201A",15,17.5,"FOLIAR_2","L","201A",17.5
"SH","201A",15,17.5,"SOIL_SURF","S","201A",17.5
"SH","201A",15,18,"FOLIAR_1","POSE","201A",18
"SH","201A",15,18,"FOLIAR_2","L","201A",18
"SH","201A",15,18,"SOIL_SURF","S","201A",18
"SH","201A",15,18.5,"FOLIAR_1","N","201A",18.5
