LineKey,PrimaryKey,PointLoc,PointNbr,PG,AG,Forb
244A,244A,13,13,51,5,8
244A,244A,17,17,68,16,0
244A,244A,21,21,71,28,2
244A,244A,25,25,35,23,15
244A,244A,29,29,65,24,0
244G,244G,1,1,14,0,26
244G,244G,5,5,44,0,27
244G,244G,9,9,39,19,12
244G,244G,13,13,42,12,23
244G,244G,17,17,21,0,30
244G,244G,21,21,49,24,22
244G,244G,25,25,48,17,24
244G,244G,29,29,44,20,28
245A,245A,1,1,22,33,56
245A,245A,5,5,32,38,30
245A,245A,9,9,32,28,45.5
245A,245A,13,13,30,27,37
245A,245A,17,17,25,24,17
245A,245A,21,21,31,37,28
245A,245A,25,25,23,34,12
245A,245A,29,29,69,13,13
245G,245G,1,1,35,39,22
245G,245G,5,5,62,36,59
245G,245G,9,9,32,32,18
245G,245G,13,13,33,38,34.5
245G,245G,17,17,38,32,37
245G,245G,21,21,56,33,18
245G,245G,25,25,0,29.5,32
245G,245G,29,29,48,33,35
