Region,PrimaryKey,Line,PointNbr,FOLIAR_1,FOLIAR_2,FOLIAR_3,FOLIAR_4,FOLIAR_5,SOIL_SURF
SH,201G,15,13.5,AGROP,ACTH7,L,NA,NA,S
SH,201G,15,14,CHJU,AGROP,L,NA,NA,S
SH,201G,15,14.5,AGROP,L,NA,NA,NA,S
SH,201G,15,15,AGROP,BRTE,L,NA,NA,S
SH,201G,15,15.5,AGROP,L,NA,NA,NA,S
SH,201G,15,16,N,L,NA,NA,NA,S
SH,201G,15,16.5,N,L,NA,NA,NA,S
SH,201G,15,17,AGROP,L,NA,NA,NA,S
SH,201G,15,17.5,AGROP,NA,NA,NA,NA,AGROP
SH,201G,15,18,AGROP,BRTE,L,NA,NA,S
SH,201G,15,18.5,BRTE,L,NA,NA,NA,S
SH,201G,15,19,AGROP,L,NA,NA,NA,S
SH,201G,15,19.5,N,L,NA,NA,NA,S
SH,201G,15,20,KOMA,L,NA,NA,NA,S
SH,201G,15,20.5,N,L,NA,NA,NA,S
SH,201G,15,21,POSE,L,NA,NA,NA,S
SH,201G,15,21.5,POBU,L,NA,NA,NA,S
SH,201G,15,22,AGROP,POBU,L,NA,NA,S
SH,201G,15,22.5,ACTH7,L,NA,NA,NA,S
SH,201G,15,23,ACTH7,L,NA,NA,NA,S
SH,201G,15,23.5,ACTH7,POSE,L,NA,NA,S
SH,201G,15,24,N,L,NA,NA,NA,S
SH,201G,15,24.5,N,L,NA,NA,NA,S
SH,201G,15,25,POSE,L,NA,NA,NA,S
SH,201G,15,25.5,ACTH7,L,NA,NA,NA,S
SH,201G,15,26,AGROP,L,NA,NA,NA,S
SH,201G,15,26.5,ACTH7,POSE,L,NA,NA,S
SH,201G,15,27,N,L,NA,NA,NA,S
SH,201G,15,27.5,ACTH7,L,NA,NA,NA,S
SH,201G,15,28,ACTH7,L,NA,NA,NA,S
SH,201G,15,28.5,AGROP,POSE,L,NA,NA,S
SH,201G,15,29,AGROP,L,NA,NA,NA,S
SH,201G,15,29.5,AGROP,NA,NA,NA,NA,AGROP
SH,201G,28,0,POSE,L,NA,NA,NA,S
SH,201G,28,0.5,POSE,L,NA,NA,NA,S
SH,201G,28,1,DG,L,NA,NA,NA,S
SH,201G,28,1.5,DG,L,NA,NA,NA,S
SH,201G,28,2,AGROP,L,NA,NA,NA,S
SH,201G,28,2.5,DG,L,NA,NA,NA,S
SH,201G,28,3,POSE,L,NA,NA,NA,S
SH,201G,28,3.5,N,NA,NA,NA,NA,S
SH,201G,28,4,N,L,NA,NA,NA,S
SH,201G,28,4.5,AGROP,POSE,L,NA,NA,S
SH,201G,28,5,N,L,NA,NA,NA,S
SH,201G,28,5.5,N,L,NA,NA,NA,S
SH,201G,28,6,N,L,NA,NA,NA,S
SH,201G,28,6.5,AGROP,L,NA,NA,NA,S
SH,201G,28,7,N,L,NA,NA,NA,S
SH,201G,28,7.5,AGROP,L,NA,NA,NA,S
SH,201G,28,8,POSE,NA,NA,NA,NA,POSE
SH,201G,28,8.5,AGROP,DG,POSE,NA,NA,POSE
SH,201G,28,9,AGROP,NA,NA,NA,NA,AGROP
SH,201G,28,9.5,N,L,NA,NA,NA,S
SH,201G,28,10,N,L,NA,NA,NA,S
SH,201G,28,10.5,N,NA,NA,NA,NA,S
SH,201G,28,11,N,NA,NA,NA,NA,S
SH,201G,28,11.5,CHJU,NA,NA,NA,NA,S
SH,201G,28,12,N,NA,NA,NA,NA,S
SH,201G,28,12.5,N,NA,NA,NA,NA,S
SH,201G,28,13,CHJU,L,NA,NA,NA,S
SH,201G,28,13.5,AGROP,CHJU,NA,NA,NA,S
SH,201G,28,14,DF,L,NA,NA,NA,S
SH,201G,28,14.5,N,L,NA,NA,NA,S
SH,201G,28,15,N,NA,NA,NA,NA,S
SH,201G,28,15.5,N,NA,NA,NA,NA,S
SH,201G,28,16,N,NA,NA,NA,NA,S
SH,201G,28,16.5,AGROP,L,NA,NA,NA,S
SH,201G,28,17,BRTE,POSE,L,NA,NA,S
SH,201G,28,17.5,N,L,NA,NA,NA,S
SH,201G,28,18,N,L,NA,NA,NA,S
SH,201G,28,18.5,N,L,NA,NA,NA,S
SH,201G,28,19,AGROP,L,NA,NA,NA,S
SH,201G,28,19.5,AGROP,POSE,BRTE,L,NA,S
SH,201G,28,20,N,NA,NA,NA,NA,S
SH,201G,28,20.5,N,L,NA,NA,NA,S
SH,201G,28,21,N,L,NA,NA,NA,S
SH,201G,28,21.5,N,NA,NA,NA,NA,S
SH,201G,28,22,N,NA,NA,NA,NA,S
SH,201G,28,22.5,N,L,NA,NA,NA,S
SH,201G,28,23,POSE,L,NA,NA,NA,S
SH,201G,28,23.5,POSE,L,NA,NA,NA,S
SH,201G,28,24,ACTH7,L,NA,NA,NA,S
SH,201G,28,24.5,ACTH7,L,NA,NA,NA,S
SH,201G,28,25,AGROP,L,NA,NA,NA,S
SH,201G,28,25.5,POSE,NA,NA,NA,NA,POSE
SH,201G,28,26,ASTRA,L,NA,NA,NA,S
SH,201G,28,26.5,ASTRA,POSE,L,NA,NA,S
SH,201G,28,27,ACTH7,ASTRA,POSE,L,NA,S
SH,201G,28,27.5,AGROP,ACTH7,L,NA,NA,S
SH,201G,28,28,AGROP,L,NA,NA,NA,S
SH,201G,28,28.5,CHJU,L,NA,NA,NA,S
SH,201G,28,29,N,L,NA,NA,NA,S
SH,201G,28,29.5,POSE,L,NA,NA,NA,S
SH,202A,2,0,AGROP,L,NA,NA,NA,S
SH,202A,2,0.5,N,L,NA,NA,NA,S
SH,202A,2,1,BRTE,L,NA,NA,NA,S
SH,202A,2,1.5,POSE,NA,NA,NA,NA,S
SH,202A,2,2,AGROP,L,NA,NA,NA,S
SH,202A,2,2.5,ACTH7,L,NA,NA,NA,S
SH,202A,2,3,N,NA,NA,NA,NA,S
SH,202A,2,3.5,N,NA,NA,NA,NA,S
SH,202A,2,4,N,NA,NA,NA,NA,S
SH,202A,2,4.5,POSE,L,NA,NA,NA,S
SH,202A,2,5,AGROP,NA,NA,NA,NA,S
SH,202A,2,5.5,N,L,NA,NA,NA,S
SH,202A,2,6,N,NA,NA,NA,NA,S
SH,202A,2,6.5,N,NA,NA,NA,NA,S
SH,202A,2,7,ACTH7,NA,NA,NA,NA,S
SH,202A,2,7.5,AGROP,W,NA,NA,NA,S
SH,202A,2,8,AGROP,L,NA,NA,NA,S
SH,202A,2,8.5,AGROP,L,NA,NA,NA,S
SH,202A,2,9,AGROP,L,NA,NA,NA,S
SH,202A,2,9.5,POSE,L,NA,NA,NA,S
SH,202A,2,10,AGROP,L,NA,NA,NA,S
SH,202A,2,10.5,N,L,NA,NA,NA,S
SH,202A,2,11,N,W,L,NA,NA,S
SH,202A,2,11.5,AGROP,L,NA,NA,NA,S
SH,202A,2,12,N,L,NA,NA,NA,S
SH,202A,2,12.5,POSE,L,NA,NA,NA,S
